Node [0]: value [-633], final index [73]
Node [168]: value [77], final index [236]
Node [169]: value [-117], final index [189]
Node [170]: value [222], final index [268]
Node [171]: value [151], final index [249]
Node [172]: value [-62], final index [206]
Node [173]: value [76], final index [235]
Node [174]: value [17], final index [223]
Node [175]: value [374], final index [315]
Node [176]: value [259], final index [277]
Node [177]: value [-43], final index [211]
Node [178]: value [10], final index [222]
Node [179]: value [32], final index [228]
Node [180]: value [55], final index [232]
Node [181]: value [408], final index [326]
Node [182]: value [327], final index [301]
Node [183]: value [290], final index [288]
Node [184]: value [223], final index [269]
Node [185]: value [317], final index [295]
Node [186]: value [-139], final index [185]
Node [187]: value [364], final index [313]
Node [188]: value [333], final index [304]
Node [189]: value [-97], final index [198]
Node [190]: value [-130], final index [187]
Node [191]: value [195], final index [262]
Node [192]: value [-167], final index [180]
Node [193]: value [-141], final index [184]
Node [194]: value [-175], final index [179]
Node [195]: value [29], final index [227]
Node [196]: value [85], final index [238]
Node [197]: value [24], final index [226]
Node [198]: value [-180], final index [177]
Node [199]: value [-100], final index [197]
Node [200]: value [-44], final index [210]
Node [201]: value [288], final index [287]
Node [202]: value [-182], final index [175]
Node [203]: value [169], final index [255]
Node [204]: value [-76], final index [202]
Node [205]: value [302], final index [291]
Node [206]: value [-181], final index [176]
Node [207]: value [68], final index [233]
Node [208]: value [328], final index [302]
Node [209]: value [257], final index [275]
Node [210]: value [275], final index [283]
Node [211]: value [-148], final index [183]
Node [212]: value [401], final index [324]
Node [213]: value [218], final index [267]
Node [214]: value [-16], final index [217]
Node [215]: value [5], final index [221]
Node [216]: value [363], final index [312]
Node [217]: value [162], final index [251]
Node [218]: value [379], final index [317]
Node [219]: value [267], final index [279]
Node [220]: value [-136], final index [186]
Node [221]: value [-58], final index [207]
Node [222]: value [399], final index [323]
Node [223]: value [334], final index [305]
Node [224]: value [418], final index [328]
Node [225]: value [-203], final index [168]
Node [226]: value [80], final index [237]
Node [227]: value [338], final index [306]
Node [228]: value [-19], final index [215]
Node [229]: value [-55], final index [208]
Node [230]: value [207], final index [265]
Node [231]: value [-14], final index [218]
Node [232]: value [163], final index [252]
Node [233]: value [281], final index [285]
Node [234]: value [96], final index [239]
Node [235]: value [-201], final index [169]
Node [236]: value [180], final index [259]
Node [237]: value [42], final index [229]
Node [238]: value [345], final index [309]
Node [239]: value [-84], final index [199]
Node [240]: value [249], final index [274]
Node [241]: value [311], final index [294]
Node [242]: value [318], final index [296]
Node [243]: value [265], final index [278]
Node [244]: value [161], final index [250]
Node [245]: value [-47], final index [209]
Node [246]: value [270], final index [281]
Node [247]: value [-191], final index [172]
Node [248]: value [341], final index [307]
Node [249]: value [-633], final index [73]
Node [250]: value [-307], final index [147]
Node [251]: value [-910], final index [22]
Node [252]: value [-554], final index [94]
Node [253]: value [-955], final index [12]
Node [254]: value [-491], final index [105]
Node [255]: value [-843], final index [32]
Node [256]: value [-842], final index [33]
Node [257]: value [-867], final index [25]
Node [258]: value [-945], final index [15]
Node [259]: value [-434], final index [117]
Node [260]: value [-681], final index [61]
Node [261]: value [-408], final index [124]
Node [262]: value [-431], final index [119]
Node [263]: value [-585], final index [87]
Node [264]: value [-623], final index [75]
Node [265]: value [-223], final index [162]
Node [266]: value [-964], final index [10]
Node [267]: value [-652], final index [67]
Node [268]: value [-984], final index [8]
Node [269]: value [-584], final index [88]
Node [270]: value [-592], final index [86]
Node [271]: value [-367], final index [133]
Node [272]: value [-463], final index [113]
Node [273]: value [-447], final index [114]
Node [274]: value [-617], final index [77]
Node [275]: value [-427], final index [121]
Node [276]: value [-619], final index [76]
Node [277]: value [-313], final index [145]
Node [278]: value [-597], final index [84]
Node [279]: value [-580], final index [89]
Node [280]: value [-710], final index [55]
Node [281]: value [-723], final index [52]
Node [282]: value [-361], final index [134]
Node [283]: value [-309], final index [146]
Node [284]: value [-277], final index [151]
Node [285]: value [-218], final index [165]
Node [286]: value [-611], final index [80]
Node [287]: value [-417], final index [122]
Node [288]: value [-261], final index [159]
Node [289]: value [-747], final index [49]
Node [290]: value [-668], final index [64]
Node [291]: value [-782], final index [42]
Node [292]: value [-689], final index [60]
Node [293]: value [-697], final index [57]
Node [294]: value [-507], final index [102]
Node [295]: value [-865], final index [26]
Node [296]: value [-343], final index [139]
Node [297]: value [-244], final index [161]
Node [298]: value [-608], final index [81]
Node [299]: value [-357], final index [135]
Node [300]: value [-985], final index [7]
Node [301]: value [-941], final index [16]
Node [302]: value [-976], final index [9]
Node [303]: value [-838], final index [34]
Node [304]: value [-778], final index [44]
Node [305]: value [-262], final index [158]
Node [306]: value [-314], final index [144]
Node [307]: value [-345], final index [138]
Node [308]: value [-559], final index [92]
Node [309]: value [-446], final index [115]
Node [310]: value [-998], final index [2]
Node [311]: value [-935], final index [17]
Node [312]: value [-383], final index [129]
Node [313]: value [-695], final index [59]
Node [314]: value [-674], final index [62]
Node [315]: value [-550], final index [95]
Node [316]: value [-814], final index [40]
Node [317]: value [-571], final index [91]
Node [318]: value [-429], final index [120]
Node [319]: value [-860], final index [28]
Node [320]: value [-642], final index [72]
Node [321]: value [-864], final index [27]
Node [322]: value [-779], final index [43]
Node [323]: value [-347], final index [137]
Node [324]: value [-530], final index [99]
Node [325]: value [-773], final index [46]
Node [326]: value [-557], final index [93]
Node [327]: value [-272], final index [154]
Node [328]: value [-775], final index [45]
Node [329]: value [-270], final index [155]
Node [330]: value [-278], final index [150]
Node [331]: value [-825], final index [37]
Node [332]: value [-822], final index [38]
Node [333]: value [-573], final index [90]
Node [334]: value [-317], final index [143]
Node [335]: value [-665], final index [65]
Node [336]: value [-995], final index [4]
Node [337]: value [-413], final index [123]
Node [338]: value [-512], final index [101]
Node [339]: value [-615], final index [78]
Node [340]: value [-285], final index [149]
Node [341]: value [-745], final index [50]
Node [342]: value [-832], final index [36]
Node [343]: value [-1000], final index [0]
Node [344]: value [-395], final index [126]
Node [345]: value [-671], final index [63]
Node [346]: value [-371], final index [132]
Node [347]: value [-432], final index [118]
Node [348]: value [-716], final index [53]
Node [349]: value [-598], final index [83]
Node [350]: value [-847], final index [30]
Node [351]: value [-531], final index [98]
Node [352]: value [-922], final index [20]
Node [353]: value [-846], final index [31]
Node [354]: value [-655], final index [66]
Node [355]: value [-393], final index [127]
Node [356]: value [-335], final index [140]
Node [357]: value [-875], final index [24]
Node [358]: value [-469], final index [111]
Node [359]: value [-929], final index [18]
Node [360]: value [-547], final index [96]
Node [361]: value [-372], final index [131]
Node [362]: value [-220], final index [164]
Node [363]: value [-216], final index [166]
Node [364]: value [-517], final index [100]
Node [365]: value [-255], final index [160]
Node [366]: value [-594], final index [85]
Node [367]: value [-649], final index [68]
Node [368]: value [-276], final index [152]
Node [369]: value [-487], final index [108]
Node [370]: value [-540], final index [97]
Node [371]: value [-756], final index [48]
Node [372]: value [-389], final index [128]
Node [373]: value [-648], final index [69]
Node [374]: value [-437], final index [116]
Node [375]: value [-947], final index [14]
Node [376]: value [-706], final index [56]
Node [377]: value [-996], final index [3]
Node [378]: value [-613], final index [79]
Node [379]: value [-320], final index [142]
Node [380]: value [-762], final index [47]
Node [381]: value [-819], final index [39]
Node [382]: value [-481], final index [109]
Node [383]: value [-286], final index [148]
Node [384]: value [-488], final index [107]
Node [385]: value [-950], final index [13]
Node [386]: value [-321], final index [141]
Node [387]: value [-911], final index [21]
Node [388]: value [-956], final index [11]
Node [389]: value [-724], final index [51]
Node [390]: value [-396], final index [125]
Node [391]: value [-924], final index [19]
Node [392]: value [-475], final index [110]
Node [393]: value [-643], final index [71]
Node [394]: value [-713], final index [54]
Node [395]: value [-222], final index [163]
Node [396]: value [-490], final index [106]
Node [397]: value [-645], final index [70]
Node [398]: value [-263], final index [157]
Node [399]: value [-993], final index [5]
Node [400]: value [-630], final index [74]
Node [401]: value [-266], final index [156]
Node [402]: value [-806], final index [41]
Node [403]: value [-856], final index [29]
Node [404]: value [-492], final index [104]
Node [405]: value [-696], final index [58]
Node [406]: value [-351], final index [136]
Node [407]: value [-907], final index [23]
Node [408]: value [-275], final index [153]
Node [409]: value [-604], final index [82]
Node [410]: value [-837], final index [35]
Node [411]: value [-380], final index [130]
Node [412]: value [-467], final index [112]
Node [413]: value [-999], final index [1]
Node [414]: value [-499], final index [103]
Node [415]: value [-987], final index [6]
Node [416]: value [436], final index [339]
Node [417]: value [584], final index [377]
Node [418]: value [615], final index [386]
Node [419]: value [428], final index [335]
Node [420]: value [563], final index [372]
Node [421]: value [509], final index [360]
Node [422]: value [571], final index [373]
Node [423]: value [542], final index [369]
Node [424]: value [594], final index [379]
Node [425]: value [481], final index [353]
Node [426]: value [452], final index [343]
Node [427]: value [465], final index [346]
Node [428]: value [585], final index [378]
Node [429]: value [491], final index [356]
Node [430]: value [442], final index [341]
Node [431]: value [562], final index [371]
Node [432]: value [515], final index [364]
Node [433]: value [520], final index [365]
Node [434]: value [597], final index [380]
Node [435]: value [476], final index [350]
Node [436]: value [472], final index [348]
Node [437]: value [427], final index [334]
Node [438]: value [431], final index [337]
Node [439]: value [500], final index [358]
Node [440]: value [493], final index [357]
Node [441]: value [439], final index [340]
Node [442]: value [600], final index [381]
Node [443]: value [534], final index [368]
Node [444]: value [487], final index [354]
Node [445]: value [430], final index [336]
Node [446]: value [447], final index [342]
Node [447]: value [577], final index [375]
Node [448]: value [477], final index [351]
Node [449]: value [580], final index [376]
Node [450]: value [506], final index [359]
Node [451]: value [510], final index [361]
Node [452]: value [575], final index [374]
Node [453]: value [466], final index [347]
Node [454]: value [609], final index [383]
Node [455]: value [523], final index [366]
Node [456]: value [490], final index [355]
Node [457]: value [559], final index [370]
Node [458]: value [614], final index [385]
Node [459]: value [603], final index [382]
Node [460]: value [529], final index [367]
Node [461]: value [612], final index [384]
Node [462]: value [621], final index [388]
Node [463]: value [512], final index [362]
Node [464]: value [474], final index [349]
Node [465]: value [514], final index [363]
Node [466]: value [457], final index [344]
Node [467]: value [458], final index [345]
Node [468]: value [616], final index [387]
Node [469]: value [432], final index [338]
Node [470]: value [624], final index [389]
Node [471]: value [479], final index [352]
Node [472]: value [893], final index [462]
Node [473]: value [877], final index [455]
Node [474]: value [885], final index [458]
Node [475]: value [863], final index [452]
Node [476]: value [864], final index [453]
Node [477]: value [844], final index [446]
Node [478]: value [847], final index [448]
Node [479]: value [861], final index [451]
Node [480]: value [887], final index [459]
Node [481]: value [880], final index [457]
Node [482]: value [859], final index [450]
Node [483]: value [845], final index [447]
Node [484]: value [878], final index [456]
Node [485]: value [852], final index [449]
Node [486]: value [891], final index [461]
Node [487]: value [875], final index [454]
Node [488]: value [890], final index [460]
Node [489]: value [896], final index [463]
Node [490]: value [953], final index [485]
Node [491]: value [944], final index [482]
Node [492]: value [952], final index [484]
Node [493]: value [958], final index [486]
Node [494]: value [949], final index [483]
Node [495]: value [965], final index [487]
Node [496]: value [990], final index [495]
